,date,price
0,2019-01,"2,980"
1,2019-02,"2,980"
2,2019-03,"3,280"
3,2019-04,"3,280"
4,2019-05,"2,980"
5,2019-06,"2,980"
6,2019-07,"2,980"
7,2019-08,"2,960"
8,2019-09,"3,280"
9,2019-10,"3,280"
10,2019-11,"3,280"
11,2019-12,"2,980"
12,2020-01,"3,280"
13,2020-02,"2,980"
14,2020-03,"2,980"
15,2020-04,"2,980"
16,2020-05,"2,980"
17,2020-06,"2,980"
18,2020-07,"2,980"
19,2020-08,"2,980"
20,2020-09,"2,980"
21,2020-10,"2,980"
22,2020-11,"3,280"
23,2020-12,"2,780"
24,2021-01,"2,780"
25,2021-02,"2,780"
26,2021-03,"2,780"
27,2021-04,"3,590"
28,2021-05,"3,590"
29,2021-06,"3,290"
30,2021-07,"3,390"
31,2021-08,"3,390"
32,2021-09,"3,500"
33,2021-10,"2,780"
34,2021-11,"3,500"
35,2021-12,"3,500"
36,2022-01,"3,500"
37,2022-02,"3,500"
38,2022-03,"2,980"
39,2022-04,"3,500"
