,날짜,price
0,2022년 3월,"3,800"
1,2022년 2월,"3,806"
2,2022년 1월,"3,807"
3,2021년 12월,"3,809"
4,2021년 11월,"3,807"
5,2021년 10월,"3,803"
6,2021년 9월,"3,753"
7,2021년 8월,"3,681"
8,2021년 7월,"3,477"
9,2021년 6월,"3,469"
10,2021년 5월,"3,488"
11,2021년 4월,"3,481"
12,2021년 3월,"3,489"
13,2021년 2월,"3,494"
14,2021년 1월,"3,496"
15,2020년 12월,"3,490"
16,2020년 11월,"3,480"
17,2020년 10월,"3,497"
18,2020년 9월,"3,485"
19,2020년 8월,"3,494"
20,2020년 7월,"3,491"
21,2020년 6월,"3,486"
22,2020년 5월,"3,494"
23,2020년 4월,"3,504"
24,2020년 3월,"3,503"
25,2020년 2월,"3,473"
26,2020년 1월,"3,459"
27,2019년 12월,"3,458"
28,2019년 11월,"3,446"
29,2019년 10월,"3,459"
30,2019년 9월,"3,467"
31,2019년 8월,"3,456"
32,2019년 7월,"3,420"
33,2019년 6월,"3,465"
34,2019년 5월,"3,463"
35,2019년 4월,"3,453"
36,2019년 3월,"3,463"
37,2019년 2월,"3,465"
38,2019년 1월,"3,460"
39,2018년 12월,"3,459"
40,2018년 11월,"3,458"
41,2018년 10월,"3,449"
42,2018년 9월,"3,441"
43,2018년 8월,"3,433"
44,2018년 7월,"3,431"
45,2018년 6월,"3,436"
46,2018년 5월,"3,438"
47,2018년 4월,"3,433"
48,2018년 3월,"3,433"
49,2018년 2월,"3,443"
50,2018년 1월,"3,449"
51,2017년 12월,"3,445"
52,2017년 11월,"3,439"
53,2017년 10월,"3,437"
54,2017년 9월,"3,443"
55,2017년 8월,"3,450"
56,2017년 7월,"3,444"
57,2017년 6월,"3,439"
58,2017년 5월,"3,438"
59,2017년 4월,"3,438"
60,2017년 3월,"3,446"
61,2017년 2월,"3,443"
62,2017년 1월,"3,425"
63,2016년 12월,"3,203"
64,2016년 11월,"3,201"
65,2016년 10월,"3,182"
66,2016년 9월,"3,074"
67,2016년 8월,"3,003"
68,2016년 7월,"3,059"
69,2016년 6월,"3,079"
70,2016년 5월,"3,038"
71,2016년 4월,"3,186"
72,2016년 3월,"3,180"
73,2016년 2월,"3,178"
74,2016년 1월,"3,178"
75,2015년 12월,"3,178"
76,2015년 11월,"3,176"
77,2015년 10월,"3,171"
78,2015년 9월,"3,173"
79,2015년 8월,"3,170"
80,2015년 7월,"3,180"
81,2015년 6월,"3,189"
82,2015년 5월,"3,178"
83,2015년 4월,"3,167"
84,2015년 3월,"3,146"
85,2015년 2월,"3,171"
86,2015년 1월,"3,184"
87,2014년 12월,"3,181"
88,2014년 11월,"3,176"
89,2014년 10월,"3,189"
90,2014년 9월,"3,184"
91,2014년 8월,"3,173"
92,2014년 7월,"3,178"
93,2014년 6월,"3,190"
94,2014년 5월,"3,192"
95,2014년 4월,"3,184"
96,2014년 3월,"3,178"
97,2014년 2월,"3,207"
98,2014년 1월,"3,199"
99,2013년 12월,"3,177"
100,2013년 11월,"3,182"
101,2013년 10월,"3,191"
102,2013년 9월,"3,183"
103,2013년 8월,"3,188"
104,2013년 7월,"3,189"
105,2013년 6월,"3,198"
106,2013년 5월,"3,202"
107,2013년 4월,"3,200"
108,2013년 3월,"3,202"
109,2013년 2월,"3,205"
110,2013년 1월,"3,194"
111,2012년 12월,"3,189"
112,2012년 11월,"3,189"
113,2012년 10월,"3,198"
114,2012년 9월,"3,194"
115,2012년 8월,"3,188"
116,2012년 7월,"3,172"
117,2012년 6월,"3,181"
118,2012년 5월,"3,183"
119,2012년 4월,"3,175"
120,2012년 3월,"3,180"
121,2012년 2월,"3,185"
122,2012년 1월,"3,183"
123,2011년 12월,"3,098"
124,2011년 11월,"2,937"
125,2011년 10월,"2,921"
126,2011년 9월,"2,934"
127,2011년 8월,"2,927"
128,2011년 7월,"2,930"
129,2011년 6월,"2,925"
130,2011년 5월,"2,933"
131,2011년 4월,"2,942"
132,2011년 3월,"2,926"
133,2011년 2월,-
134,2011년 1월,-
